id,parent_id,name,name_en,area
2203,22,ท่าใหม่,Tha Mai,724.662257497895
2204,22,โป่งน้ำร้อน,Pong Nam Ron,1178.02472378
2205,22,มะขาม,Makham,515.289932608
2206,22,แหลมสิงห์,Laem Sing,198.38499162090048
2207,22,สอยดาว,Soi Dao,929.4468007300001
2208,22,แก่งหางแมว,Kaeng Hang Maeo,1408.679071
2209,22,นายายอาม,Na Yai Am,331.132119334
2210,22,เขาคิชฌกูฏ,Khao Khitchakut,904.2792379470001
2301,23,เมืองตราด,Mueang Trat,1096.45256027
2302,23,คลองใหญ่,Khlong Yai,84.6979209374
2303,23,เขาสมิง,Khao Saming,752.8254458250001
2304,23,บ่อไร่,Bo Rai,785.41120739
2305,23,แหลมงอบ,Laem Ngop,192.351430472
2306,23,เกาะกูด,Ko Kut,151.48421980246488
2307,23,เกาะช้าง,Ko Chang,253.993127641292
2401,24,เมืองฉะเชิงเทรา,Mueang Chachoengsao,445.615531341
2402,24,บางคล้า,Bang Khla,272.708842907
2403,24,บางน้ำเปรี้ยว,Bang Nam Priao,575.4244841670001
2404,24,บางปะกง,Bang Pakong,301.19707166
2405,24,บ้านโพธิ์,Ban Pho,244.437095887
2406,24,พนมสารคาม,Phanom Sarakham,591.939003746
2407,24,ราชสาส์น,Ratchasan,167.59518106299998
2408,24,สนามชัยเขต,Sanam Chai Khet,1235.1462608699999
2409,24,แปลงยาว,Plaeng Yao,379.555269036
2410,24,ท่าตะเกียบ,Tha Takiap,1647.21546474
2411,24,คลองเขื่อน,Khlong Khuean,124.043771073
2501,25,เมืองปราจีนบุรี,Mueang Prachin Buri,548.932215325
2502,25,กบินทร์บุรี,Kabin Buri,1626.3184206600001
2503,25,นาดี,Na Di,1395.51633364
2506,25,บ้านสร้าง,Ban Sang,432.017532084
2507,25,ประจันตคาม,Prachantakham,1097.57576891
2508,25,ศรีมหาโพธิ,Si Mahapho,557.752061245
2509,25,ศรีมโหสถ,Si Mahosot,163.67247675099998
2601,26,เมืองนครนายก,Mueang Nakhon Nayok,945.254164089
2602,26,ปากพลี,Pak Phli,509.74782414099997
2603,26,บ้านนา,Ban Na,419.860255541
2604,26,องครักษ์,Ongkharak,604.34943935
2701,27,เมืองสระแก้ว,Mueang Sa Kaeo,1616.41044685
2702,27,คลองหาด,Khlong Hat,560.542547126
2703,27,ตาพระยา,Ta Phraya,1124.36363464
2704,27,วังน้ำเย็น,Wang Nam Yen,500.330164875
2705,27,วัฒนานคร,Watthana Nakhon,1751.92822922
2706,27,อรัญประเทศ,Aranya Prathet,851.8984680039998
2707,27,เขาฉกรรจ์,Khao Chakan,536.121713878
2708,27,โคกสูง,Khok Sung,395.472880649
2709,27,วังสมบูรณ์,Wang Sombun,579.988752266
3001,30,เมืองนครราชสีมา,Mueang Nakhon Ratchasima,885.656236078
